state,parlimen,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Perlis,P.001 Padang Besar,37432,37280,152,780,1438,81.19999695,932,46098,8666,2.489848258,64.81223922,602.6425591
Perlis,P.002 Kangar,45703,45486,217,806,5603,81.69999695,1023,55940,10237,2.238365096,18.25807603,182.7056934
Perlis,P.003 Arau,40433,40290,143,690,4856,83.90000153,833,48191,7758,2.060198353,17.15403624,159.7611203
Kedah,P.004 Langkawi,35250,35131,119,604,8893,82.59999847,723,42675,7425,2.05106383,8.12998988,83.49263466
Kedah,P.005 Jerlun,44822,44660,162,723,5866,82.80000305,885,54132,9310,1.974476819,15.0869417,158.7112172
Kedah,P.006 Kubang Pasu,61452,61104,348,770,13009,83.19999695,1118,73860,12408,1.819306125,8.594050273,95.38012145
Kedah,P.007 Padang Terap,39932,39777,155,854,1099,85.59999847,1009,46649,6717,2.526795552,91.81073703,611.1919927
Kedah,P.008 Pokok Sena,71910,71619,291,869,5558,82.80000305,1160,86847,14937,1.613127521,20.87081684,268.747751
Kedah,P.009 Alor Setar,65096,64812,284,881,15200,81.09999847,1165,80266,15170,1.789664496,7.664473684,99.80263158
Kedah,P.010 Kuala Kedah,80555,80278,277,1111,13481,82.40000153,1388,97760,17205,1.723046366,10.29597211,127.6240635
Kedah,P.011 Pendang,63371,63198,173,952,5808,84.59999847,1125,74906,11535,1.775259977,19.36983471,198.6053719
Kedah,P.012 Jerai,66920,66748,172,1012,539,83.69999695,1184,79952,13032,1.769276748,219.6660482,2417.810761
Kedah,P.013 Sik,42772,42657,115,729,5218,84.90000153,844,50379,7607,1.97325353,16.17477961,145.7838252
Kedah,P.014 Merbok,72708,72458,250,1108,10072,82.80000305,1358,87811,15103,1.867744952,13.48292295,149.9503574
Kedah,P.015 Sungai Petani,93847,93423,424,889,21569,83.40000153,1313,112526,18679,1.399085746,6.087440308,86.60114053
Kedah,P.016 Baling,92128,91900,228,1388,1074,85.90000153,1616,107250,15122,1.754081278,150.4655493,1408.007449
Kedah,P.017 Padang Serai,71157,70911,246,827,8813,83.90000153,1073,84811,13654,1.507933162,12.17519573,154.9302167
Kedah,P.018 Kulim-Bandar Baharu,55390,55237,153,894,4860,83.19999695,1047,66574,11184,1.890232894,21.54320988,230.1234568
Kelantan,P.019 Tumpat,88733,87987,746,1402,17500,80,2148,110916,22183,2.420745382,12.27428571,126.76
Kelantan,P.020 Pengkalan Chepa,60862,60126,736,739,13232,80.69999695,1475,75417,14555,2.423515494,11.14721886,109.9984885
Kelantan,P.021 Kota Bharu,68306,67658,648,689,5869,77,1337,88709,20403,1.957368313,22.78071222,347.6401431
Kelantan,P.022 Pasir Mas,55319,54783,536,1232,13075,77.69999695,1768,71195,15876,3.196008605,13.52198853,121.4225621
Kelantan,P.023 Rantau Panjang,49639,49198,441,825,6150,75.09999847,1266,66097,16458,2.550413989,20.58536585,267.6097561
